Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return
2022-08-15,24136.97265625,25135.58984375,23839.775390625,24318.31640625,35123501685.0,,
2022-08-16,23883.291015625,24228.416015625,23733.5,24126.13671875,27753685646.0,-0.007902672384450415,-0.007934063994307352
2022-08-17,23335.998046875,24407.05859375,23243.353515625,23881.31640625,30931623076.0,-0.010147514098671873,-0.010199351095793783
2022-08-18,23212.73828125,23563.83203125,23177.6015625,23341.0390625,23747613147.0,-0.02262343224968133,-0.02288326849698187
2022-08-19,20877.552734375,23213.3125,20868.84765625,23213.3125,40509610260.0,-0.005472188369934572,-0.005487215639150442
2022-08-20,21166.060546875,21350.806640625,20856.73046875,20872.841796875,27595671000.0,-0.10082450331571591,-0.10627705034268954
2022-08-21,21534.12109375,21668.845703125,21103.197265625,21160.392578125,23102307723.0,0.013776312015791214,0.01368228124337336
2022-08-22,21398.908203125,21531.462890625,20939.18359375,21531.462890625,31666498758.0,0.017536078838329416,0.01738409602375018
2022-08-23,21528.087890625,21646.203125,20955.138671875,21401.044921875,31878280659.0,-0.006057088151069645,-0.006075506722441388
2022-08-24,21395.01953125,21783.076171875,21195.005859375,21526.455078125,31962253368.0,0.005860001542345783,0.005842898516618908
2022-08-25,21600.904296875,21789.63671875,21362.44140625,21395.458984375,31028679593.0,-0.006085353732167342,-0.006103944958354407
2022-08-26,20260.01953125,21804.908203125,20199.482421875,21596.0859375,42326789564.0,0.009377081055915504,0.009333389153981743
2022-08-27,20041.73828125,20340.775390625,19890.5234375,20262.48046875,30116729776.0,-0.061752183826713436,-0.0637411685228341
2022-08-28,19616.814453125,20139.0546875,19616.814453125,20041.03515625,24366810591.0,-0.010928835333932851,-0.010988993764054808
2022-08-29,20297.994140625,20357.462890625,19600.78515625,19615.154296875,32637854078.0,-0.02125044220793082,-0.021479483486095553
2022-08-30,19796.80859375,20542.64453125,19617.640625,20298.611328125,34483360283.0,0.0348433165962343,0.03425003032630253
2022-08-31,20049.763671875,20420.990234375,19799.58203125,19799.58203125,33225232872.0,-0.024584405741271742,-0.024891648281464125
2022-09-01,20127.140625,20198.390625,19653.96875,20050.498046875,30182031010.0,0.012672793558418327,0.012593165742354674
2022-09-02,19969.771484375,20401.568359375,19814.765625,20126.072265625,29123998928.0,0.003769194090506911,0.00376210847757997
2022-09-03,19832.087890625,20037.009765625,19698.35546875,19969.71875,23613051457.0,-0.007768704870052989,-0.0077990384616759565
2022-09-04,19986.712890625,19999.689453125,19636.81640625,19832.470703125,25245861652.0,-0.0068728082049227535,-0.006896534725609852
2022-09-05,19812.37109375,20031.16015625,19673.046875,19988.7890625,28813460025.0,0.007881940768497797,0.007851040536355743
2022-09-06,18837.66796875,20155.26953125,18800.171875,19817.724609375,43403978910.0,-0.008558019827520469,-0.008594849958409749
2022-09-07,19290.32421875,19427.171875,18644.466796875,18837.68359375,35239757134.0,-0.04945275176350872,-0.05071740946585406
2022-09-08,19329.833984375,19417.3515625,19076.71484375,19289.94140625,32194477850.0,0.024008143583537533,0.023724479303991717
2022-09-09,21381.15234375,21439.41015625,19310.962890625,19328.140625,48469528171.0,0.0019802661887622364,0.0019783080463423954
2022-09-10,21680.5390625,21760.275390625,21168.72265625,21376.912109375,36913738894.0,0.105999409054641,0.10074936879135746
2022-09-11,21769.255859375,21770.552734375,21406.9453125,21678.54296875,34493951963.0,0.01411012300708836,0.014011501843252191
2022-09-12,22370.44921875,22439.181640625,21603.896484375,21770.1484375,50212088965.0,0.00422562848813457,0.004216725591485382
2022-09-13,20296.70703125,22673.8203125,20062.669921875,22371.48046875,51091116622.0,0.02762186178823578,0.027247260636316818
2022-09-14,20241.08984375,20467.201171875,19793.396484375,20184.5546875,37872380889.0,-0.09775507634842706,-0.10286926179640474
2022-09-15,19701.2109375,20318.166015625,19636.734375,20242.2890625,36389011503.0,0.002860324435879358,0.002856241491783649
2022-09-16,19772.583984375,19870.62890625,19400.076171875,19704.005859375,30123362273.0,-0.02659201246771048,-0.026951975809701528
2022-09-17,20127.576171875,20162.53125,19777.033203125,19777.033203125,24957448100.0,0.0037062181300182573,0.0036993670261769337
2022-09-18,19419.505859375,20127.234375,19387.4921875,20127.234375,31254779144.0,0.01770746745875229,0.0175525167723528
2022-09-19,19544.12890625,19639.48046875,18390.318359375,19418.572265625,40177002624.0,-0.03520911498179935,-0.03584390058887679
2022-09-20,18890.7890625,19602.45703125,18813.455078125,19545.591796875,36791346508.0,0.006541136470411546,0.006519836072665918
2022-09-21,18547.400390625,19674.630859375,18290.314453125,18891.283203125,46363793975.0,-0.03347601855957172,-0.03404916797688495
2022-09-22,19413.55078125,19456.91015625,18415.591796875,18534.650390625,41135767926.0,-0.018878167706522175,-0.019058635187610185
2022-09-23,19297.638671875,19464.671875,18617.552734375,19412.400390625,38896078052.0,0.04735724610397685,0.04627008295811938
2022-09-24,18937.01171875,19310.197265625,18861.974609375,19296.990234375,26149643168.0,-0.0059451769965416235,-0.005962919919464427
2022-09-25,18802.09765625,19134.732421875,18696.46875,18936.310546875,23359966112.0,-0.018690981501223836,-0.018867865453440484
2022-09-26,19222.671875,19274.873046875,18721.28515625,18803.900390625,44148798321.0,-0.006992394633697607,-0.007016955987137803
2022-09-27,19110.546875,20338.455078125,18915.66796875,19221.83984375,58571439619.0,0.02222621075643283,0.021982808538108294
2022-09-28,19426.720703125,19688.34375,18553.296875,19104.62109375,53071298734.0,-0.006098206568821984,-0.0061168765715538306
2022-09-29,19573.05078125,19589.265625,18924.353515625,19427.779296875,41037843771.0,0.016915185155423895,0.01677371649471343
